"input" "filtered" "denoisedF" "denoisedR" "merged"
"MET-PL1-16S" 33528 24583 24317 24471 20783
"T05-PL1-16S" 23817 17391 17273 17349 16464
"T101-PL1-16S" 45582 33453 32978 33172 24086
"T107-PL1-16S" 37035 26867 26541 26665 21165
"T110-PL1-16S" 30403 21878 21575 21689 18097
"T111-PL1-16S" 38545 28195 27819 28002 21645
"T118-PL1-16S" 26734 19409 19132 19268 16122
"T119-PL1-16S" 12162 8681 8611 8621 8242
"T121-PL1-16S" 27734 20462 20229 20307 17792
"T122-PL1-16S" 36876 26469 26133 26275 19637
"T123-PL1-16S" 35475 26450 26189 26283 22587
"T130-PL1-16S" 40353 29696 29312 29475 25279
"T133-PL1-16S" 49436 36455 36043 36192 29946
"T136-PL1-16S" 29328 21576 21396 21470 18680
"T138-PL1-16S" 45222 33487 33206 33279 29702
"T139-PL1-16S" 38567 28565 28230 28418 22007
"T142-PL1-16S" 39525 27514 27174 27296 20383
"T146-PL1-16S" 37327 27186 26890 27047 21205
"T152-PL1-16S" 35616 26391 26095 26255 21431
"T15-PL1-16S" 29333 21717 21523 21614 18570
"T160-PL1-16S" 24211 17205 17081 17112 14698
"T162-PL1-16S" 55181 41039 40490 40681 33474
"T163-PL1-16S" 30971 22401 22141 22278 18000
"T168-PL1-16S" 43812 31515 31168 31320 23510
"T17-PL1-16S" 27632 20309 20077 20194 16557
"T20-PL1-16S" 21566 15919 15751 15827 14664
"T39-PL1-16S" 21059 15313 15156 15213 12938
"T41-PL1-16S" 15350 11369 11266 11295 10878
"T46-PL1-16S" 1545 1114 1093 1098 1078
"T49-PL1-16S" 20183 14468 14331 14369 12890
"T51-PL1-16S" 31268 22473 22236 22318 18222
"T54-PL1-16S" 47376 34273 33776 34123 25216
"T56-PL1-16S" 43270 32693 32321 32541 27476
"T57-PL1-16S" 46003 33251 32844 33010 25475
"T61-PL1-16S" 34481 25553 25230 25344 20128
"T62-PL1-16S" 23289 17113 16903 16985 14987
"T66-PL1-16S" 22676 16239 16124 16141 14913
"T70-PL1-16S" 26440 19232 18925 18962 16104
"T74-PL1-16S" 35212 25604 25406 25458 21097
"T76-PL1-16S" 20116 14720 14617 14647 13650
"T77-PL1-16S" 39456 29231 28880 28988 23696
"T81-PL1-16S" 14383 10297 10227 10216 9882
"T83-PL1-16S" 48766 36005 35458 35793 27930
"T86-PL1-16S" 15091 11066 10982 11035 10558
"T89-PL1-16S" 34155 25431 25247 25359 22622
"T91-PL1-16S" 35233 26011 25749 25906 22060
"T95-PL1-16S" 14083 10244 10198 10227 9943
"T98-PL1-16S" 28975 21710 21445 21488 17419
